"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_1";"v_2";"v_3";"v_4";"v_5";"v_6";"v_7";"v_8";"v_9";"v_10";"v_11";"v_12";"ext_host";"ip_addr";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts42919";"rts42920"
"1";"0";"0";"31";"42918";"-77";"1361";"4";"3";"6";"1";"2";"5";"1";"1";"0";"1";"1";"0";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"0";"0";"0";"-77";"-77";"6b0b0fae43c47f8ce14b01d732990f65";"1";"0";"1773688005";"2026-03-16 19:06:45";"2026-03-16 19:29:26";"2026-03-16 18:45:34";"1361";"4"
"2";"0";"0";"31";"42918";"-77";"83";"5";"2";"1";"4";"3";"6";"1";"1";"1";"1";"1";"1";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"0";"1";"0";"-77";"-77";"314fb1ef37a23a202b9a884a950f87dc";"1";"0";"1773690719";"2026-03-16 19:51:59";"2026-03-16 19:53:22";"2026-03-16 18:45:35";"83";"3"
"3";"0";"0";"31";"42918";"-77";"125";"2";"5";"6";"4";"1";"3";"1";"0";"0";"1";"1";"0";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"1";"0";"0";"-77";"-77";"ef02534ffd92819ba280eb619c8871af";"1";"0";"1773698396";"2026-03-16 21:59:56";"2026-03-16 22:02:01";"2026-03-16 18:45:34";"125";"8"
"4";"0";"0";"31";"42918";"-77";"390";"1";"5";"2";"6";"3";"4";"1";"1";"1";"1";"1";"1";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/148.0 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42919,42919,42919,42919,42919,42919,42918";"1";"0";"0";"-77";"-77";"be15570dc4909c35d3e88875d349f094";"1";"0";"1773723376";"2026-03-17 04:56:16";"2026-03-17 05:02:46";"2026-03-16 18:45:34";"390";"16"
"5";"0";"0";"31";"42918";"-77";"145";"1";"2";"5";"3";"4";"6";"1";"1";"0";"1";"1";"0";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"1";"0";"0";"-77";"-77";"37215843378b1dfc01098f4a745bb419";"1";"0";"1773726614";"2026-03-17 05:50:14";"2026-03-17 05:52:39";"2026-03-16 18:45:35";"145";"14"
"6";"0";"0";"32";"42918";"-77";"-1";"1";"2";"3";"4";"5";"6";"1";"1";"1";"1";"0";"0";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42920,42920,42920,42920,42920,42919,42918";"0";"1";"0";"-77";"-77";"55c3fce836a194cdc468ec7737e94b38";"1";"0";"1773730655";"2026-03-17 06:57:35";"2026-03-17 09:16:34";"2026-03-16 18:45:35";"8339";"8224"
"7";"0";"0";"31";"42918";"-77";"160";"4";"5";"6";"1";"3";"2";"0";"0";"0";"1";"1";"1";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"1";"0";"0";"-77";"-77";"cbaf8534f55703aeecd3150fcb3959c4";"1";"0";"1773766614";"2026-03-17 16:56:54";"2026-03-17 16:59:34";"2026-03-16 18:45:35";"160";"27"
"8";"0";"0";"31";"42918";"-77";"702";"6";"3";"1";"2";"5";"4";"1";"1";"1";"1";"1";"1";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42919,42918";"0";"1";"0";"-77";"-77";"19111bdbc1708507224bb90ea73af5a3";"1";"0";"1773866716";"2026-03-18 20:45:16";"2026-03-18 20:56:58";"2026-03-16 18:45:34";"702";"17"
"9";"0";"0";"31";"42918";"-77";"71";"6";"4";"2";"1";"3";"5";"0";"0";"1";"1";"1";"0";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"0";"0";"0";"-77";"-77";"4d5867738f6382c20a792e1772ddb13c";"1";"0";"1773924792";"2026-03-19 12:53:12";"2026-03-19 12:54:23";"2026-03-16 18:45:35";"71";"10"
"10";"0";"0";"31";"42918";"-77";"119";"5";"4";"1";"2";"3";"6";"1";"1";"1";"1";"1";"0";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"1";"0";"0";"-77";"-77";"2d11ef0062c554ac82f08d1bf3a159a0";"1";"0";"1773924892";"2026-03-19 12:54:52";"2026-03-19 12:56:51";"2026-03-16 18:45:34";"119";"49"
"11";"0";"0";"31";"42918";"-77";"292";"5";"3";"6";"1";"2";"4";"0";"1";"0";"1";"1";"0";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"1";"1";"0";"-77";"-77";"c4b7e3ab94a51bdb691f9766e791e617";"1";"0";"1774000372";"2026-03-20 09:52:52";"2026-03-20 09:57:44";"2026-03-20 09:43:58";"292";"6"
"12";"0";"0";"31";"42918";"-77";"193";"2";"4";"1";"3";"5";"6";"1";"0";"1";"1";"0";"0";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"42920,42919,42918";"1";"0";"0";"-77";"-77";"bc538021e0bf219b9a6fdfea568f00e0";"1";"0";"1774004623";"2026-03-20 11:03:43";"2026-03-20 11:06:56";"2026-03-16 18:45:35";"193";"59"
